7896658021688;;33.02;39.62
7896658021725;;20.75;24.90
7896658004896;;21.67;26.00
7896658005046;;49.91;59.89
7896658005053;;49.91;59.89
7896658005190;;13.65;16.38
7896658001765;;31.63;37.95
7896658001789;;26.31;31.57
7896658026195;;29.72;35.66
7896658000959;;22.90;27.48
7896658004261;;11.81;14.17
7896658019562;;43.62;52.34
7896658011924;;38.62;46.34
7896658003547;;11.24;13.48
7896658003172;;9.87;11.84
7896658003189;;11.87;14.24
7896658003561;;23.43;28.11
7896658003226;;13.79;16.64
7896658007996;;56.53;67.84
7896658001901;;16.48;18.45
7896658001925;;9.82;10.99
7896658001918;;14.30;16.01
7896658002229;;12.26;13.73
7896658018992;;36.91;41.33
7896658018879;;29.00;32.48
7896658018862;;52.84;59.18
7896658000393;;35.01;39.21
7896658006401;;25.20;28.22
7896658002212;;53.18;59.56
7896658018732;;32.60;36.51
7896658028922;;35.04;39.24
7896658008559;;22.40;25.02
7896658008542;;23.01;25.77
7896658014215;;46.44;52.01
7896658023323;;43.01;48.17
7896658023354;;43.01;48.17
7896658019531;;60.21;67.43
7896658021381;;14.11;15.80
7896658021121;;14.11;15.80
7896658017247;;59.11;66.20
7896658002687;;9.14;10.23
7896658002670;;9.14;10.23
7896658005145;;23.04;25.80
7896658011276;;9.97;11.96
7896658009532;;38.92;43.59
7896658009518;;23.40;26.20
7896658032561;;72.78;81.51
7896658032578;;63.02;70.78
7896658032585;;27.52;30.82
7896658005930;;25.47;28.52
7896658015380;;34.00;38.08
7896658015427;;63.44;71.05
7896658000713;;25.69;28.77
7896658004834;;8.53;9.55
7896658002700;;61.15;68.48
7896658025532;;46.76;52.37
